incident_type_primary,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type
215ALCOH IRP WARN-3DAY,700 Block BAY ST,VICTORIA,BC,48.43561699,-123.3635502,0,Monday,Traffic
CAUSE A DISTURBANCE,ESQUIMALT RD & ADMIRALS RD,VICTORIA,BC,48.42985282,-123.4169011,0,Monday,Disorder
215 DRUG,600 Block DAVID ST,VICTORIA,BC,48.43850656,-123.3698672,2,Monday,Traffic
BREAK & ENTER-BUSINESS,ERIE ST,VICTORIA,BC,48.42184887,-123.384015,4,Monday,Breaking & Entering
THEFT BICYCLE UNDER $5000,1000 Block ROCKLAND AVE,VICTORIA,BC,48.42237058,-123.3567332,7,Monday,Theft
CAUSE A DISTURBANCE,300 Block ROBERT ST,VICTORIA,BC,48.42964259,-123.3888464,3,Saturday,Disorder
LIQUOR-INTOX IN PUBLIC PLACE,BELLEVILLE ST & GOVERNMENT ST,VICTORIA,BC,48.42061933,-123.3689731,3,Saturday,Liquor
ASSAULT AGAINST POLICE OFFICER,800 Block CALEDONIA AVE,VICTORIA,BC,48.4308637,-123.3599019,4,Saturday,Assault
LIQUOR-INTOX IN PUBLIC PLACE,3100 Block DOUGLAS ST,VICTORIA,BC,48.44543262,-123.3709667,5,Saturday,Liquor
ASSAULT-W/WEAPON OR CBH,1100 Block NORTH PARK,VICTORIA,BC,48.4296033,-123.3532377,5,Saturday,Assault with Deadly Weapon
COLLISION-DAMAGE OVER $1000,600 Block MONTREAL ST,VICTORIA,BC,48.42227524,-123.3779203,9,Saturday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,CONSTANCE AVE & LYALL ST,VICTORIA,BC,48.42829735,-123.4182004,0,Tuesday,Other
LIQUOR-INTOX IN PUBLIC PLACE,500 Block YATES ST,VICTORIA,BC,48.42683646,-123.3698416,0,Tuesday,Liquor
LIQUOR-INTOX IN PUBLIC PLACE,1300 Block DOUGLAS ST,VICTORIA,BC,48.42643331,-123.3648717,1,Tuesday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,2,Tuesday,Other
VEHICLE,700 Block HILLSIDE AVE,VICTORIA,BC,48.43836879,-123.3665008,3,Tuesday,Vehicle Stop
LIQUOR-INTOX IN PUBLIC PLACE,300 Block PLASKETT PL,VICTORIA,BC,48.42094227,-123.4142848,3,Tuesday,Liquor
THEFT-OTHER UNDER $5000,CENTENNIAL SQ,VICTORIA,BC,48.42856537,-123.3650228,8,Tuesday,Theft
BREAK & ENTER-BUSINESS,1800 Block COOK ST,VICTORIA,BC,48.42969812,-123.3529502,9,Tuesday,Breaking & Entering
THEFT BICYCLE UNDER $5000,1200 Block BALMORAL RD,VICTORIA,BC,48.427788,-123.3461756,10,Tuesday,Theft
EXCESSIVE SPEED-OVER 40KM,1000 Block FINLAYSON ST,VICTORIA,BC,48.44636319,-123.3605211,10,Tuesday,Traffic
THEFT-OTHER UNDER $5000,3000 Block CEDAR HILL RD,VICTORIA,BC,48.44650143,-123.3451251,11,Tuesday,Theft
THEFT MOTORCYCLE UNDER $5000,2300 Block FORBES ST,VICTORIA,BC,48.43392049,-123.3382742,14,Tuesday,Theft of Vehicle
THEFT-OTHER UNDER $5000,500 Block CRAIGFLOWER RD,VICTORIA,BC,48.43677184,-123.3883177,14,Tuesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block CALEDONIA AVE,VICTORIA,BC,48.4308637,-123.3599019,14,Tuesday,Other
THEFT-OTHER UNDER $5000,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,14,Tuesday,Theft
COLLISION-DAMAGE OVER $1000,200 Block KIMTA RD,VICTORIA,BC,48.42881879,-123.3821452,14,Tuesday,Traffic
THEFT OF AUTO UNDER $5000,1500 Block HILLSIDE AVE,VICTORIA,BC,48.44444997,-123.3363316,15,Tuesday,Theft of Vehicle
DRIVING COMPLAINTS,COOK ST & COLLINSON ST,VICTORIA,BC,48.41882358,-123.3551777,11,Saturday,Traffic
POSSESSION-CANNABIS 30G & UNDR,JUTLAND RD & BURNSIDE RD E,VICTORIA,BC,48.44416102,-123.3738719,15,Tuesday,Drugs
SUSPICIOUS PERS/VEH/OCCURRENCE,200 Block MENZIES ST,VICTORIA,BC,48.41616606,-123.3734026,15,Tuesday,Other
THEFT-OTHER UNDER $5000,400 Block SIMCOE ST,VICTORIA,BC,48.416404,-123.3760874,15,Tuesday,Theft
TRAFFIC-OTHER MOVING PROV,400 Block DAVID ST,VICTORIA,BC,48.43746625,-123.3751884,16,Tuesday,Traffic
THEFT-OTHER UNDER $5000,600 Block TYEE RD,VICTORIA,BC,48.43362156,-123.3805298,17,Tuesday,Theft
THEFT MOTORCYCLE UNDER $5000,1400 Block GOVERNMENT ST,VICTORIA,BC,48.42767341,-123.3672313,17,Tuesday,Theft of Vehicle
THEFT-SHOPLIFTING UNDER $5000,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,18,Tuesday,Theft
THEFT-OTHER UNDER $5000,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,18,Tuesday,Theft
COLLISION-DAMAGE UNDER $1000,GORGE RD E & DAVID ST,VICTORIA,BC,48.43877026,-123.3685029,19,Tuesday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,BROUGHTON ST & BLANSHARD ST,VICTORIA,BC,48.42351244,-123.3627408,19,Tuesday,Other
CAUSE A DISTURBANCE,DOUGLAS ST & BURNSIDE RD E,VICTORIA,BC,48.44181287,-123.3690084,21,Friday,Disorder
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block COOK ST,VICTORIA,BC,48.42059663,-123.3546738,22,Tuesday,Other
BREAK & ENTER-BUSINESS,600 Block WILSON ST,VICTORIA,BC,48.43257997,-123.3905734,23,Tuesday,Breaking & Entering
THEFT OF TRUCK UNDER $5000,HARBOUR RD,VICTORIA,BC,48.4308637,-123.3599019,23,Tuesday,Theft of Vehicle
TRAFFIC-INSURANCE VIOLATION,DOUGLAS ST & BURNSIDE RD E,VICTORIA,BC,48.44181287,-123.3690084,11,Saturday,Traffic
THEFT FROM MV UNDER $5000,500 Block JOHNSON ST,VICTORIA,BC,48.42780909,-123.3697875,11,Saturday,Theft from Vehicle
THEFT FROM MV UNDER $5000,1000 Block PAKINGTON ST,VICTORIA,BC,48.41737236,-123.3570125,11,Saturday,Theft from Vehicle
ASSAULT-W/WEAPON OR CBH,CENTENNIAL SQ,VICTORIA,BC,48.42856537,-123.3650228,13,Saturday,Assault with Deadly Weapon
DRIVING COMPLAINTS,ROCKLAND AVE & LINDEN AVE,VICTORIA,BC,48.42146928,-123.3509823,9,Wednesday,Traffic
ASSAULT AGAINST POLICE OFFICER,CENTENNIAL SQ,VICTORIA,BC,48.42856537,-123.3650228,23,Friday,Assault
ASSAULT-AGGRAVATED,1000 Block GOVERNMENT ST,VICTORIA,BC,48.42431865,-123.3679578,4,Saturday,Assault with Deadly Weapon
THEFT BICYCLE UNDER $5000,500 Block FORT ST,VICTORIA,BC,48.42502988,-123.3689976,23,Friday,Theft
THEFT FROM MV UNDER $5000,DOUGLAS ST & HERALD ST,VICTORIA,BC,48.43020336,-123.3645267,9,Wednesday,Theft from Vehicle
THEFT FROM MV UNDER $5000,900 Block PANDORA AVE,VICTORIA,BC,48.42734512,-123.3565901,9,Wednesday,Theft from Vehicle
MISCHIEF $5000 OR UNDER,300 Block WATERFRONT CRES,VICTORIA,BC,48.44190276,-123.3784514,10,Wednesday,Property Crime
TRAFFIC-INSURANCE VIOLATION,900 Block REDFERN ST,VICTORIA,BC,48.42120922,-123.3241489,11,Wednesday,Traffic
MISCHIEF $5000 OR UNDER,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,11,Wednesday,Property Crime
THEFT-SHOPLIFTING UNDER $5000,700 Block HILLSIDE AVE,VICTORIA,BC,48.43882175,-123.3640463,12,Wednesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,1300 Block QUADRA ST,VICTORIA,BC,48.425824,-123.3592388,12,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,ESQUIMALT RD & HEAD ST,VICTORIA,BC,48.43059181,-123.4006684,9,Monday,Other
BREAK & ENTER-RESIDENCE,1300 Block PURCELL PL,VICTORIA,BC,48.42244537,-123.3467452,3,Thursday,Breaking & Entering
TRAFFIC-INSURANCE VIOLATION,BAY ST & WARK ST,VICTORIA,BC,48.43538117,-123.3595147,7,Thursday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,300 Block BAY ST,VICTORIA,BC,48.43490297,-123.3754657,7,Thursday,Other
THEFT-OTHER UNDER $5000,800 Block NORTH PARK ST,VICTORIA,BC,48.42991932,-123.3592799,8,Thursday,Theft
THEFT BICYCLE UNDER $5000,800 Block LINDEN AVE,VICTORIA,BC,48.42021522,-123.3513224,9,Thursday,Theft
WEAPONS-POSSESSION,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,10,Thursday,Weapons Offense
SUSPICIOUS PERS/VEH/OCCURRENCE,200 Block KIMTA RD,VICTORIA,BC,48.42881879,-123.3821452,10,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,800 Block JOHNSON ST,VICTORIA,BC,48.42680535,-123.3613428,11,Thursday,Other
COLLISION-DAMAGE UNDER $1000,BLANSHARD ST & FORT ST,VICTORIA,BC,48.42431624,-123.3624261,12,Saturday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,VANCOUVER ST & MASON ST,VICTORIA,BC,48.42794741,-123.3561517,11,Thursday,Other
THEFT FROM MV UNDER $5000,100 Block CROFT ST,VICTORIA,BC,48.41484799,-123.376983,11,Thursday,Theft from Vehicle
THEFT OF TRUCK UNDER $5000,100 Block MEDANA ST,VICTORIA,BC,48.41425216,-123.3740484,16,Monday,Theft of Vehicle
THEFT-OTHER UNDER $5000,900 Block HILLSIDE AVE,VICTORIA,BC,48.43939537,-123.3595605,16,Monday,Theft
POSSESS-OTH SCHED I DRUGS/SUBS,900 Block PANDORA AVE,VICTORIA,BC,48.42747325,-123.358472,16,Monday,Drugs
SUSPICIOUS PERS/VEH/OCCURRENCE,400 Block SITKUM RD,VICTORIA,BC,48.43005896,-123.3797826,17,Monday,Other
DRIVING COMPLAINTS,FRONT ST & WILSON ST,VICTORIA,BC,48.43254718,-123.3881462,17,Monday,Traffic
BREAK & ENTER-RESIDENCE,2500 Block QUADRA ST,VICTORIA,BC,48.43640793,-123.3583777,17,Monday,Breaking & Entering
CAUSE A DISTURBANCE,800 Block FLEMING ST,VICTORIA,BC,48.43939101,-123.399105,19,Monday,Disorder
BREAK & ENTER-RESIDENCE,500 Block BURNSIDE RD E,VICTORIA,BC,48.44390116,-123.3732114,11,Thursday,Breaking & Entering
THEFT-OTHER UNDER $5000,100 Block KINGSTON ST,VICTORIA,BC,48.42188967,-123.3798304,12,Thursday,Theft
THEFT-SHOPLIFTING UNDER $5000,3000 Block BLANSHARD ST,VICTORIA,BC,48.44507561,-123.3663972,12,Thursday,Theft
THEFT BICYCLE UNDER $5000,400 Block SWIFT ST,VICTORIA,BC,48.42953126,-123.3705013,12,Thursday,Theft
DRIVING COMPLAINTS,BELLEVILLE ST & MENZIES ST,VICTORIA,BC,48.4207506,-123.3709895,13,Thursday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,JOHNSON ST & QUADRA ST,VICTORIA,BC,48.42655911,-123.3590628,13,Thursday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,3100 Block CEDAR HILL RD,VICTORIA,BC,48.44808973,-123.3440909,14,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,600 Block FISGARD ST,VICTORIA,BC,48.4293801,-123.3665966,14,Thursday,Other
THEFT-OTHER UNDER $5000,1100 Block DOUGLAS ST,VICTORIA,BC,48.42504412,-123.3652189,15,Thursday,Theft
THEFT FROM MV UNDER $5000,400 Block SIMCOE ST,VICTORIA,BC,48.41593933,-123.3751689,15,Thursday,Theft from Vehicle
SUSPICIOUS PERS/VEH/OCCURRENCE,1600 Block COOK ST,VICTORIA,BC,48.42807147,-123.3531762,15,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,VANCOUVER ST & PANDORA AVE,VICTORIA,BC,48.42731701,-123.3561869,16,Thursday,Other
BREAK & ENTER-RESIDENCE,300 Block NIAGARA ST,VICTORIA,BC,48.41549578,-123.3791054,16,Thursday,Breaking & Entering
DRIVING COMPLAINTS,1400 Block JOHNSON ST,VICTORIA,BC,48.42548365,-123.3445509,16,Thursday,Traffic
THEFT-SHOPLIFTING UNDER $5000,700 Block PANDORA AVE,VICTORIA,BC,48.4277711,-123.3620985,17,Thursday,Theft
THEFT-OTHER UNDER $5000,1300 Block GLADSTONE AVE,VICTORIA,BC,48.4304649,-123.344676,17,Thursday,Theft
LIQUOR-INTOX IN PUBLIC PLACE,200 Block MENZIES ST,VICTORIA,BC,48.41561438,-123.373703,18,Thursday,Liquor
MISCHIEF $5000 OR UNDER,700 Block PANDORA AVE,VICTORIA,BC,48.4277711,-123.3620985,19,Thursday,Property Crime
DRIVING COMPLAINTS,BLANSHARD ST & HILLSIDE AVE,VICTORIA,BC,48.43889838,-123.3635022,19,Thursday,Traffic
LIQUOR-INTOX IN PUBLIC PLACE,1000 Block GOVERNMENT ST,VICTORIA,BC,48.42431865,-123.3679578,20,Thursday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,1000 Block ROCKLAND AVE,VICTORIA,BC,48.42237058,-123.3567332,20,Thursday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,600 Block JOHNSON ST,VICTORIA,BC,48.42742585,-123.3667054,21,Thursday,Other
THEFT-OTHER UNDER $5000,700 Block GRENVILLE AVE,VICTORIA,BC,48.43366961,-123.4158829,13,Saturday,Theft
TRAFFIC-OTHER NON-MOVE PROV,800 Block RUPERT TER,VICTORIA,BC,48.42087619,-123.3615387,22,Thursday,Traffic
CAUSE A DISTURBANCE,300 Block BURNSIDE RD E,VICTORIA,BC,48.44796914,-123.3816246,13,Saturday,Disorder
COLLISION-DAMAGE UNDER $1000,DOUGLAS ST & FORT ST,VICTORIA,BC,48.42465122,-123.3653757,13,Saturday,Traffic
THEFT-SHOPLIFTING UNDER $5000,500 Block JOHNSON ST,VICTORIA,BC,48.42756073,-123.3677773,15,Saturday,Theft
COLLISION-DAMAGE UNDER $1000,800 Block CALEDONIA AVE,VICTORIA,BC,48.4308637,-123.3599019,16,Saturday,Traffic
MISCHIEF $5000 OR UNDER,900 Block PANDORA AVE,VICTORIA,BC,48.42725159,-123.3575399,16,Saturday,Property Crime
WEAPONS-POSSESSION,800 Block BURDETT AVE,VICTORIA,BC,48.42188255,-123.3617524,17,Saturday,Weapons Offense
TRAFFIC-OTHER MUNICIPAL,BAY ST & GOVERNMENT ST,VICTORIA,BC,48.43580093,-123.3673186,17,Saturday,Traffic
THEFT-SHOPLIFTING UNDER $5000,1100 Block ESQUIMALT RD,VICTORIA,BC,48.43008053,-123.4110865,18,Saturday,Theft
TRAFFIC-INSURANCE VIOLATION,HAULTAIN ST & COOK ST,VICTORIA,BC,48.43640619,-123.3521698,18,Saturday,Traffic
BYLAW-NOISE,800 Block CRAIGFLOWER RD,VICTORIA,BC,48.44008081,-123.3948831,22,Saturday,Other
BYLAW-NOISE,500 Block YATES ST,VICTORIA,BC,48.42671962,-123.3687687,23,Saturday,Other
IMPAIRED OP MOTOR VEH (ALCOH),700 Block BURDETT AVE,VICTORIA,BC,48.42203637,-123.3643072,23,Saturday,Traffic
TRAFFIC-OTHER MOVING PROV,LAMPSON ST & FERNHILL RD,VICTORIA,BC,48.43122983,-123.4053562,23,Saturday,Traffic
THEFT-SHOPLIFTING UNDER $5000,1200 Block GOVERNMENT ST,VICTORIA,BC,48.42624819,-123.3675805,13,Wednesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,1100 Block ESQUIMALT RD,VICTORIA,BC,48.43011656,-123.4110845,13,Wednesday,Other
CAUSE A DISTURBANCE,2300 Block TRENT ST,VICTORIA,BC,48.43298969,-123.3238871,14,Wednesday,Disorder
SUSPICIOUS PERS/VEH/OCCURRENCE,2500 Block PRIOR ST,VICTORIA,BC,48.43649165,-123.3537845,14,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,100 Block HOWE ST,VICTORIA,BC,48.40995306,-123.3513574,15,Wednesday,Other
THEFT-OTHER UNDER $5000,300 Block WATERFRONT CRES,VICTORIA,BC,48.44190276,-123.3784514,15,Wednesday,Theft
BREAK & ENTER-RESIDENCE,SONGHEES RD,VICTORIA,BC,48.42681015,-123.3760497,16,Wednesday,Breaking & Entering
ASSAULT-OTHER PEACE OFFICER,1400 Block DOUGLAS ST,VICTORIA,BC,48.42732153,-123.3646873,10,Sunday,Assault with Deadly Weapon
THEFT BICYCLE UNDER $5000,100 Block JOSEPH ST,VICTORIA,BC,48.40964583,-123.3477328,17,Wednesday,Theft
215 DRUG,COOK ST & VIEW ST,VICTORIA,BC,48.42419111,-123.3537981,17,Wednesday,Traffic
DRIVING COMPLAINTS,FINLAYSON ST & DOUGLAS ST,VICTORIA,BC,48.44497565,-123.3707221,17,Wednesday,Traffic
DRIVING COMPLAINTS,COOK ST & YATES ST,VICTORIA,BC,48.42506129,-123.3536145,17,Wednesday,Traffic
CYCLIST,1000 Block WOLLASTON ST,VICTORIA,BC,48.42848363,-123.4044274,16,Wednesday,Vehicle Stop
CAUSE A DISTURBANCE,FIFTH ST & HILLSIDE AVE,VICTORIA,BC,48.43959481,-123.3577948,15,Sunday,Disorder
215 ALCOH-24HR,HILLSIDE AVE & COOK ST,VICTORIA,BC,48.44038889,-123.3516768,1,Thursday,Traffic
THEFT FROM MV UNDER $5000,1300 Block JOHNSON ST,VICTORIA,BC,48.42543189,-123.3464427,18,Tuesday,Theft from Vehicle
VEHICLE,COURTNEY ST & QUADRA ST,VICTORIA,BC,48.42235557,-123.360107,1,Thursday,Vehicle Stop
TRAFFIC-OTHER NON-MOVE PROV,700 Block FORT ST,VICTORIA,BC,48.42459278,-123.3648393,3,Thursday,Traffic
VEHICLE,700 Block CHATHAM ST,VICTORIA,BC,48.4310913,-123.3658813,10,Thursday,Vehicle Stop
215 DRUG,AMELIA ST & PANDORA AVE,VICTORIA,BC,48.42761372,-123.3604881,0,Friday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,400 Block GORGE RD E,VICTORIA,BC,48.44095839,-123.3741848,1,Friday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,1000 Block KINGS RD,VICTORIA,BC,48.43747287,-123.3580483,1,Friday,Other
LIQUOR-INTOX IN PUBLIC PLACE,700 Block BROUGHTON ST,VICTORIA,BC,48.42365406,-123.3640821,2,Friday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,HILLSIDE AVE & BLANSHARD ST,VICTORIA,BC,48.43889838,-123.3635022,0,Wednesday,Other
POSSESS-OTH SCHED I DRUGS/SUBS,DOUGLAS ST & HILLSIDE AVE,VICTORIA,BC,48.43834282,-123.3669072,0,Wednesday,Drugs
TRAFFIC-OTHER MOVING PROV,CRAIGFLOWER RD & TILLICUM RD,VICTORIA,BC,48.44185692,-123.4022086,15,Wednesday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,400 Block SITKUM RD,VICTORIA,BC,48.430121,-123.3793744,1,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,700 Block BROUGHTON ST,VICTORIA,BC,48.42374959,-123.3650212,3,Wednesday,Other
VEHICLE,800 Block TOPAZ AVE,VICTORIA,BC,48.4419263,-123.3645039,4,Wednesday,Vehicle Stop
CYCLIST,FINLAYSON ST & YEW ST,VICTORIA,BC,48.44596877,-123.3635128,4,Wednesday,Vehicle Stop
THEFT BICYCLE UNDER $5000,300 Block BURNSIDE RD E,VICTORIA,BC,48.44735378,-123.3804438,7,Wednesday,Theft
BYLAW-NOISE,2100 Block RIDGE RD,VICTORIA,BC,48.43232795,-123.3463257,8,Wednesday,Other
COLLISION-DAMAGE OVER $1000,GOVERNMENT ST & PEMBROKE ST,VICTORIA,BC,48.43272331,-123.3672201,8,Wednesday,Traffic
COLLISION-DAMAGE OVER $1000,HAULTAIN ST & SCOTT ST,VICTORIA,BC,48.43610291,-123.3350473,8,Wednesday,Traffic
COLLISION-DAMAGE OVER $1000,300 Block QUEBEC ST,VICTORIA,BC,48.42156541,-123.3762058,8,Wednesday,Traffic
MISCHIEF $5000 OR UNDER,2600 Block COOK ST,VICTORIA,BC,48.4386452,-123.3519095,9,Wednesday,Property Crime
WEAPONS-POSSESSION,JOHNSON ST & DOUGLAS ST,VICTORIA,BC,48.42717744,-123.3646953,9,Wednesday,Weapons Offense
ANIMAL CALLS,1000 Block CALEDONIA AVE,VICTORIA,BC,48.43059626,-123.3553289,10,Wednesday,Other
COLLISION-DAMAGE OVER $1000,ELLERY ST & FAIRVIEW RD,VICTORIA,BC,48.43730406,-123.3989498,10,Wednesday,Traffic
THEFT-OTHER UNDER $5000,800 Block NORTH PARK ST,VICTORIA,BC,48.42991932,-123.3592799,11,Wednesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,ESQUIMALT RD & HEAD ST,VICTORIA,BC,48.43059181,-123.4006684,12,Wednesday,Other
DRIVING COMPLAINTS,FORT ST & VANCOUVER ST,VICTORIA,BC,48.42371917,-123.3569277,12,Wednesday,Traffic
TRAFFICKING-METHAMPHETAMINE,800 Block CALEDONIA AVE,VICTORIA,BC,48.4308637,-123.3599019,12,Wednesday,Drugs
THEFT FROM MV UNDER $5000,900 Block ROCKLAND AVE,VICTORIA,BC,48.42242667,-123.3586189,12,Wednesday,Theft from Vehicle
LIQUOR-INTOX IN PUBLIC PLACE,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,13,Wednesday,Liquor
THEFT-OTHER UNDER $5000,DOUGLAS ST & YATES ST,VICTORIA,BC,48.42628021,-123.3648802,13,Wednesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,600 Block GORGE RD E,VICTORIA,BC,48.43917528,-123.3695601,17,Wednesday,Other
THEFT-OTHER UNDER $5000,900 Block YATES ST,VICTORIA,BC,48.4256248,-123.3588451,18,Wednesday,Theft
LIQUOR-INTOX IN PUBLIC PLACE,1900 Block BAY ST,VICTORIA,BC,48.43362771,-123.3284393,18,Wednesday,Liquor
ASSAULT-W/WEAPON OR CBH,900 Block DOUGLAS ST,VICTORIA,BC,48.42335209,-123.365718,3,Friday,Assault with Deadly Weapon
LIQUOR-INTOX IN PUBLIC PLACE,900 Block QUADRA ST,VICTORIA,BC,48.42225651,-123.3601125,19,Wednesday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,700 Block BROUGHTON ST,VICTORIA,BC,48.42365406,-123.3640821,14,Monday,Other
ASSAULT-W/WEAPON OR CBH,800 Block ESQUIMALT RD,VICTORIA,BC,48.43195287,-123.3958707,21,Wednesday,Assault with Deadly Weapon
SUSPICIOUS PERS/VEH/OCCURRENCE,900 Block JOHNSON ST,VICTORIA,BC,48.42641742,-123.3577214,22,Wednesday,Other
SUSPICIOUS PERS/VEH/OCCURRENCE,1600 Block BEGBIE ST,VICTORIA,BC,48.42954689,-123.3354168,23,Wednesday,Other
