incident_type_primary,city,state,hour_of_day,day_of_week,parent_incident_type,month_of_year,day_of_month,year
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,6,9,8,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,6,9,8,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,6,9,8,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,1,6,9,8,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,6,9,8,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,0,6,9,8,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,21,0,9,8,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,5,3,9,8,31,2016
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,0,9,8,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,0,9,8,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,1,0,9,8,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,1,9,8,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,1,9,8,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,2,9,8,30,2016
THEFT BICYCLE UNDER $5000,VICTORIA,BC,20,1,9,8,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,2,9,8,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,2,9,8,19,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,3,9,8,13,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,2,9,8,30,2016
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,2,9,8,30,2016
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,8,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,3,9,8,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,3,9,8,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,3,9,8,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,3,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,2,9,8,19,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,19,4,9,8,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,4,9,8,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,4,9,8,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,4,9,8,21,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,17,1,9,8,18,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,1,9,8,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,5,9,8,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,5,9,8,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,5,9,8,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,6,9,8,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,6,9,8,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,6,9,8,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,6,9,8,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,6,9,8,23,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,5,9,8,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,21,0,9,8,24,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,0,9,8,24,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,0,9,8,24,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,4,0,9,8,24,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,0,0,9,8,24,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,6,9,8,23,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,5,9,8,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,1,9,8,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,1,9,8,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,1,9,8,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,1,9,8,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,1,9,8,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,1,9,8,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,1,9,8,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,6,1,9,8,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,0,9,8,24,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,5,9,8,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,2,9,8,26,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,17,2,9,8,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,2,9,8,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,2,9,8,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,19,6,9,9,3,2016
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,2,9,8,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,3,9,8,27,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,3,9,8,27,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,5,3,9,8,27,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,22,2,9,8,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,6,9,8,9,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,4,9,8,28,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,7,4,9,8,28,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,3,9,8,27,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,3,9,8,27,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,22,5,9,8,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,20,5,9,8,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,5,9,8,29,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,5,9,8,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,6,5,9,8,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,0,5,9,8,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,20,6,9,8,30,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,6,9,8,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,6,9,8,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,6,9,8,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,6,9,8,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,6,9,8,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,0,9,8,31,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,0,9,8,31,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,0,9,8,31,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,1,9,9,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,1,9,9,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,1,9,9,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,6,9,8,9,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,2,9,9,2,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,2,9,9,2,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,2,9,9,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,2,9,9,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,6,2,9,9,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,1,9,9,1,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,22,3,9,9,3,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,3,9,9,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,9,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,9,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,9,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,9,7,2016
THEFT BICYCLE UNDER $5000,VICTORIA,BC,21,2,9,9,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,5,9,8,29,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,4,9,9,4,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,4,9,9,4,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,4,9,9,4,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,4,9,9,4,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,6,4,9,9,4,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,21,5,9,9,5,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,20,5,9,9,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,17,5,9,9,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,5,9,9,5,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,5,9,9,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,5,9,9,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,5,9,9,5,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,2,5,9,9,5,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,4,9,9,4,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,4,9,8,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,8,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,21,6,9,9,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,6,9,9,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,6,9,9,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,6,9,9,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,6,9,9,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,6,9,9,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,6,9,9,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,3,9,8,31,2016
THEFT BICYCLE OVER $5000,VICTORIA,BC,16,0,9,9,7,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,0,9,9,7,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,0,9,9,7,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,1,0,9,9,7,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,17,1,9,9,8,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,1,9,9,8,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,1,9,9,8,2014
THEFT-OTHER OVER $5000,VICTORIA,BC,10,1,9,9,8,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,1,9,9,8,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,1,9,9,8,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,1,9,9,8,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,1,9,9,8,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,5,9,9,5,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,5,9,9,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,23,2,9,9,9,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,2,9,9,9,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,2,9,9,9,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,2,9,9,9,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,3,9,9,10,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,9,10,2014
THEFT BICYCLE OVER $5000,VICTORIA,BC,7,3,9,9,10,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,2,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,1,9,9,8,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,22,4,9,9,11,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,4,9,9,11,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,4,9,9,11,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,4,9,9,11,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,4,9,9,11,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,4,9,9,11,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,4,9,9,11,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,4,9,9,11,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,4,9,9,11,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,17,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,3,9,9,10,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,5,9,9,12,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,5,9,9,12,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,5,9,9,12,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,5,9,9,12,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,4,9,9,11,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,6,9,9,13,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,6,9,9,13,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,6,9,9,13,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,6,9,9,13,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,0,9,9,14,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,0,9,9,14,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,1,9,9,15,2014
THEFT-OTHER OVER $5000,VICTORIA,BC,19,1,9,9,15,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,1,9,9,15,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,1,9,9,15,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,1,9,9,15,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,1,9,9,15,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,6,9,9,13,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,22,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,2,9,9,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,2,9,9,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,6,2,9,9,16,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,3,9,9,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,3,9,9,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,3,9,9,17,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,23,2,9,9,16,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,4,9,9,18,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,18,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,4,9,9,18,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,4,9,9,18,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,3,4,9,9,18,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,20,3,9,9,14,2016
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,5,9,9,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,5,9,9,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,5,9,9,19,2014
THEFT-OTHER OVER $5000,VICTORIA,BC,10,5,9,9,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,3,9,9,17,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,5,9,9,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,4,9,9,1,2016
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,5,9,9,19,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,6,9,9,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,6,9,9,20,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,6,9,9,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,6,9,9,20,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,0,9,9,21,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,0,9,9,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,0,9,9,21,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,0,9,9,21,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,0,9,9,21,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,22,0,9,9,21,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,23,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,19,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,6,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,23,1,9,9,15,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,2,9,9,23,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,2,9,9,23,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,2,9,9,23,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,2,9,9,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,2,9,9,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,2,9,9,23,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,1,9,9,22,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,1,9,9,22,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,3,9,9,24,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,8,3,9,9,24,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,18,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,4,9,9,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,9,4,9,9,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,2,9,9,23,2014
THEFT-OTHER OVER $5000,VICTORIA,BC,13,5,9,9,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,5,9,9,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,0,5,9,9,26,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,20,4,9,9,25,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,20,4,9,9,25,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,0,9,4,13,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,22,6,9,9,27,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,6,9,9,27,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,0,9,9,28,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,0,9,9,28,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,5,0,9,9,28,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,0,9,9,28,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,20,1,9,9,29,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,1,9,9,29,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,14,1,9,9,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,1,9,9,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,13,1,9,9,29,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,3,9,10,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,10,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,10,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,3,9,10,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,2,9,9,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,2,9,9,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,2,9,9,30,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,2,9,9,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,2,9,9,30,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,8,2,9,9,30,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,2,9,9,30,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,6,9,9,27,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,4,9,10,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,4,9,10,2,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,4,9,10,2,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,4,9,10,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,7,4,9,10,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,0,4,9,10,2,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,0,4,9,10,2,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,16,3,9,10,1,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,3,9,10,1,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,5,9,10,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,11,5,9,10,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,9,5,9,10,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,17,4,9,12,24,2015
THEFT BICYCLE UNDER $5000,VICTORIA,BC,7,5,9,10,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,15,6,9,10,4,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,6,9,10,4,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,6,9,10,4,2014
THEFT BICYCLE OVER $5000,VICTORIA,BC,11,6,9,10,4,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,10,6,9,10,4,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,14,0,9,10,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,0,9,10,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,0,9,10,5,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,21,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,16,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,15,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,12,1,9,10,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,1,9,10,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,12,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,11,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,10,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,6,1,9,10,6,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,5,5,9,10,3,2014
THEFT-OTHER UNDER $5000,VICTORIA,BC,22,1,9,10,6,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,13,2,9,10,7,2014
THEFT BICYCLE UNDER $5000,VICTORIA,BC,1,2,9,10,7,2014
